Time,CPU Temperature,CPU Usage,,,,,,,
29:43.8,75,88.2,,,,,,,
29:44.9,75,89.7,,,,,,,
29:45.9,75,86.3,,,,,,,
29:46.9,75,88.9,,,,,,,
29:47.9,75,89.4,,,,,,,
29:48.9,75,87.3,,,,,,,
29:49.9,75,89.5,,,,,,,
29:50.9,75,87.8,,,,,,,
29:52.0,75,90.9,,,,,,,
29:53.0,75,91.4,,,,,,,
29:54.0,75,88.8,,,,,,,
29:55.0,75,86.9,,,,,,,
29:56.0,75,88.8,,,,,,,
29:57.0,75,88.4,,,,,,,
29:58.0,75,88.5,,,,,,,
29:59.0,75,88.8,,,,,,,
30:00.0,76,88.1,,,,,,,
30:01.1,76,89.8,,,,,,,
30:02.1,76,89.4,,,,,,,
30:03.1,76,89.3,,,,,,,
30:04.1,76,89.5,,,,,,,
30:05.1,76,88.3,,,,,,,
30:06.1,76,92.2,,,,,,,
30:07.1,76,85.9,,,,,,,
30:08.1,76,93.7,,,,,,,
30:09.2,76,87.6,,,,,,,
30:10.2,76,92.5,,,,,,,
30:11.2,76,88.7,,,,,,,
30:12.2,76,89.3,,,,,,,
30:13.2,76,87.4,,,,,,,
30:14.2,76,88.3,,,,,,,
30:15.2,76,87.7,,,,,,,
30:16.2,76,88.2,,,,,,,
30:17.3,76,88.8,,,,,,,
30:18.3,76,89.4,,,,,,,
30:19.3,76,86.6,,,,,,,
30:20.3,76,86.9,,,,,,,
30:21.3,76,87.8,,,,,,,
30:22.3,76,89.2,,,,,,,
30:23.3,76,87.7,,,,,,,
30:24.4,76,89.8,,,,,,,
30:25.4,76,91.2,,,,,,,
30:26.4,76,89.5,,,,,,,
30:27.4,76,88.7,,,,,,,
30:28.4,76,88.5,,,,,,,
30:29.4,76,88,,,,,,,
30:30.4,76,88.7,,,,,,,
30:31.4,76,88,,,,,,,
30:32.5,76,86.6,,,,,,,
30:33.5,76,88.8,,,,,,,
30:34.5,76,89.5,,,,,,,
30:35.5,76,88.9,,,,,,,
30:36.5,76,86.9,,,,,,,
30:37.5,76,88,,,,,,,
30:38.5,77,85.6,,,,,,,
30:39.5,77,86.1,,,,,,,
30:40.5,77,88.7,,,,,,,
30:41.5,77,88.2,,,,,,,
30:42.6,77,88.9,,,,,,,
30:43.6,77,88.9,,,,,,,
30:44.6,77,89.4,,,,,,,
30:45.6,77,87.6,,,,,,,
30:46.6,77,88.4,,,,,,,
30:47.6,77,89.5,,,,,,,
30:48.7,77,89.7,,,,,,,
30:49.7,77,90.5,,,,,,,
30:50.7,77,87.8,,,,,,,
30:51.7,77,88.5,,,,,,,
30:52.7,77,87.7,,,,,,,
30:53.7,77,86.7,,,,,,,
30:54.7,77,92.4,,,,,,,
30:55.7,77,86.6,,,,,,,
30:56.7,77,87.1,,,,,,,
30:57.8,77,90.5,,,,,,,
30:58.8,77,87.8,,,,,,,
30:59.8,77,86.7,,,,,,,
31:00.8,77,87.5,,,,,,,
31:01.8,77,86,,,,,,,
31:02.8,77,88.2,,,,,,,
31:03.8,77,90.2,,,,,,,
31:04.8,77,89.5,,,,,,,
31:05.8,77,87.9,,,,,,,
31:06.8,77,87.2,,,,,,,
31:07.9,77,87.9,,,,,,,
31:08.9,77,87.2,,,,,,,
31:09.9,77,88.6,,,,,,,
31:10.9,77,89,,,,,,,
31:11.9,77,86.9,,,,,,,
31:12.9,77,88.3,,,,,,,
31:13.9,77,88.1,,,,,,,
31:14.9,77,88.9,,,,,,,
